City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Namanyere,TZ,-7.5167,31.05,55.13,73,0,6.85,clear sky
80,Chilca,PE,-12.5211,-76.7372,59.81,88,15,8.63,few clouds
81,Bestobe,KZ,52.4994,73.0975,70.59,49,0,18.61,clear sky
82,Korop,UA,51.5664,32.9586,57.76,92,26,10.8,scattered clouds
83,Rocha,UY,-34.4833,-54.3333,46.15,95,100,1.68,overcast clouds
84,Asfi,MA,32.2994,-9.2372,72.91,86,36,19.89,scattered clouds
85,Waverley,ZA,-25.7023,28.2591,51.53,88,10,3.44,clear sky
86,Kyzyl-Suu,KG,42.3414,78.0056,74.25,35,0,5.12,clear sky
87,Nuuk,GL,64.1835,-51.7216,54.21,71,100,5.75,overcast clouds
88,Hami,CN,42.8,93.45,86.88,16,0,4.47,clear sky
89,Turukhansk,RU,65.8167,87.9833,68.49,58,86,14.09,overcast clouds
90,Nkhata Bay,MW,-11.6066,34.2907,64.65,79,0,2.89,clear sky
91,San Cristobal,VE,7.7669,-72.225,73.58,97,98,3.47,overcast clouds
92,Longonjo,AO,-12.9067,15.2533,55.56,45,42,3.4,scattered clouds
93,Kaeo,NZ,-35.1,173.7833,57.25,77,81,6.67,broken clouds
94,Yerbogachen,RU,61.2767,108.0108,77.02,37,3,2.08,clear sky
95,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,72,75,17.9,light rain
96,Mindelo,CV,16.8901,-24.9804,76.55,73,75,8.05,broken clouds
97,Parana,AR,-31.732,-60.5238,58.55,87,100,5.64,light rain
98,Gull Lake,CA,50.1001,-108.4847,68.65,38,4,5.59,clear sky
99,Fonte Boa,BR,-2.4959,-66.2662,71.31,98,99,0.63,overcast clouds
100,Yellowknife,CA,62.456,-114.3525,66.72,45,75,3.44,broken clouds
101,Mbandaka,CD,0.0487,18.2603,70.43,93,99,2.42,overcast clouds
102,Carutapera,BR,-1.195,-46.02,74.32,91,24,4.54,few clouds
103,Barranca,PE,-10.75,-77.7667,59.74,88,40,9.22,scattered clouds
104,Atuona,PF,-9.8,-139.0333,77.4,70,1,13.94,clear sky
105,Qasigiannguit,GL,68.8193,-51.1922,50.25,92,100,1.95,overcast clouds
106,Kudahuvadhoo,MV,2.6708,72.8944,81.0,78,100,21.52,overcast clouds
107,Aksu,CN,41.1231,80.2644,88.25,18,0,3.11,clear sky
108,Nerchinskiy Zavod,RU,51.3088,119.61,80.42,56,55,2.82,broken clouds
109,Namibe,AO,-15.1961,12.1522,60.49,90,0,3.83,clear sky
110,Chuy,UY,-33.6971,-53.4616,51.06,93,99,4.94,overcast clouds
111,Ponta Do Sol,PT,32.6667,-17.1,68.63,77,10,6.93,clear sky
112,Hobart,AU,-42.8794,147.3294,57.06,63,20,12.66,few clouds
113,Baturaja,ID,-4.1333,104.1667,86.16,60,100,5.28,overcast clouds
114,Teacapan,MX,22.55,-105.75,84.76,83,100,4.34,overcast clouds
115,Nanchang,CN,28.6833,115.8833,97.65,48,61,9.93,broken clouds
116,Santa Fe Do Sul,BR,-20.2111,-50.9258,68.04,44,43,6.93,scattered clouds
117,Bambous Virieux,MU,-20.3428,57.7575,70.21,70,78,16.89,light rain
118,Hamilton,US,39.1834,-84.5333,78.78,77,0,6.91,clear sky
119,Nantucket,US,41.2835,-70.0995,78.91,94,100,5.75,mist
120,Salinopolis,BR,-0.6136,-47.3561,77.7,83,81,8.25,broken clouds
121,Beringovskiy,RU,63.05,179.3167,49.35,70,79,6.73,broken clouds
122,Maracacume,BR,-2.0428,-45.9592,70.36,95,12,2.77,few clouds
123,Saginaw,US,43.3334,-84.0333,75.61,68,0,3.44,clear sky
124,Lata,PT,40.1629,-8.3327,56.95,92,54,0.96,broken clouds
125,Khatassy,RU,61.9036,129.6383,80.58,57,92,6.55,overcast clouds
126,Davidson,US,36.1501,-86.7833,82.69,70,40,4.61,haze
127,Palana,RU,59.1167,159.9667,58.15,62,7,16.06,clear sky
128,Adrar,MR,20.5022,-10.0711,86.74,44,17,12.17,few clouds
129,Soyo,AO,-6.1349,12.3689,69.69,83,94,7.83,overcast clouds
130,Karasjok,NO,69.4719,25.5112,54.54,87,95,5.39,overcast clouds
131,Neiafu,TO,-18.65,-173.9833,81.28,69,20,8.05,few clouds
132,Qarqin,AF,37.4185,66.0436,100.51,9,0,5.17,clear sky
133,Khatanga,RU,71.9667,102.5,62.89,55,88,9.28,overcast clouds
134,Sembe,CG,1.6481,14.5806,69.53,98,100,2.51,overcast clouds
135,Mujiayingzi,CN,42.1167,118.7833,82.69,45,32,7.52,scattered clouds
136,Hasaki,JP,35.7333,140.8333,88.29,84,12,19.84,few clouds
137,Sam Roi Yot,TH,12.2708,99.872,84.18,78,100,3.98,overcast clouds
138,Victoria,HK,22.2855,114.1577,93.96,68,0,4.0,clear sky
139,Tezu,IN,27.9167,96.1667,76.82,98,100,1.28,light rain
140,Beloha,MG,-25.1667,45.05,61.99,76,0,4.94,clear sky
141,Buchanan,LR,5.8808,-10.0467,74.66,87,100,7.25,light rain
142,Kostomuksha,RU,64.571,30.5767,66.94,65,98,8.7,overcast clouds
143,Murici,BR,-9.3067,-35.9433,73.69,96,99,3.29,overcast clouds
144,New Norfolk,AU,-42.7826,147.0587,56.7,75,7,5.75,clear sky
145,Culebra,PR,18.303,-65.301,82.44,97,100,8.99,overcast clouds
146,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,87,100,10.36,overcast clouds
147,Srandakan,ID,-7.9386,110.2506,80.11,72,99,14.34,overcast clouds
148,Barrow,US,71.2906,-156.7887,42.82,75,75,24.16,broken clouds
149,Charters Towers,AU,-20.1,146.2667,71.85,33,1,10.18,clear sky
150,Amalapuram,IN,16.5833,82.0167,86.99,65,100,7.72,overcast clouds
151,Laguna,US,38.421,-121.4238,90.75,29,0,8.05,clear sky
152,Provideniya,RU,64.3833,-173.3,46.51,81,75,25.01,broken clouds
153,Sola,VU,-13.8833,167.55,83.07,84,100,0.0,light rain
154,Yulara,AU,-25.2406,130.9889,74.35,19,0,9.8,clear sky
155,Vardo,NO,70.3705,31.1107,55.38,100,100,10.36,overcast clouds
156,Birin,NP,26.8865,88.0718,67.3,88,100,3.09,overcast clouds
157,Bandarbeyla,SO,9.4942,50.8122,78.55,66,48,25.08,scattered clouds
158,Coari,BR,-4.085,-63.1414,72.36,98,66,2.21,broken clouds
159,Yar-Sale,RU,66.8333,70.8333,43.72,92,100,13.2,light rain
160,East London,ZA,-33.0153,27.9116,54.54,87,0,6.91,clear sky
161,Katsuura,JP,35.1333,140.3,80.62,87,39,17.78,scattered clouds
162,Adre,TD,13.4667,22.2,74.05,79,100,1.23,overcast clouds
163,Castro,BR,-24.7911,-50.0119,58.17,86,100,2.59,overcast clouds
